Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;StdErr;Min;Max;Q1;Median;Q3;Op/s;Ratio;RatioSD;Rank;Gen0;Gen1;Allocated;Alloc Ratio
DocBenchV2;InProcess;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;21.16 μs;0.234 μs;0.183 μs;0.053 μs;20.97 μs;21.50 μs;21.00 μs;21.10 μs;21.29 μs;"47,267.9";0.41;0.01;1;0.1526;0.0000;1.41 KB;0.02
DocBenchV3;InProcess;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;21.55 μs;0.187 μs;0.166 μs;0.044 μs;21.29 μs;21.87 μs;21.41 μs;21.58 μs;21.65 μs;"46,405.4";0.42;0.01;1;0.1526;0.0000;1.41 KB;0.02
DocBench;InProcess;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;21.87 μs;0.421 μs;0.501 μs;0.109 μs;21.08 μs;22.91 μs;21.46 μs;21.85 μs;22.25 μs;"45,726.7";0.43;0.01;1;0.1526;0.0000;1.41 KB;0.02
NodeBench;InProcess;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;51.42 μs;0.944 μs;0.883 μs;0.228 μs;50.25 μs;52.88 μs;50.61 μs;51.33 μs;52.03 μs;"19,446.8";1.00;0.02;2;9.7656;0.1221;89.84 KB;1.00
NodeBenchV2;InProcess;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;51.56 μs;0.918 μs;0.814 μs;0.218 μs;49.21 μs;52.83 μs;51.36 μs;51.67 μs;51.95 μs;"19,394.5";1.00;0.02;2;9.7656;0.1221;89.84 KB;1.00
